tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover
000,00000000,00648499,01279872,010,00064397,00261655,00003694,001024,000,000,00000008,00325988,01,0000006548913151,00000000,00000000,001,002,016,016
001,00000000,00650741,01270713,010,00064681,00262216,00003811,001024,000,000,00000008,00326836,01,0000006602558304,00000000,00000000,001,002,016,016
002,00000000,00649740,01450918,010,00064126,00262337,00003732,001024,000,000,00000008,00326408,01,0000006524370678,00000000,00000000,001,002,016,016
003,00000000,00649209,01217242,010,00064368,00261771,00003754,001024,000,000,00000008,00326097,01,0000006502162337,00000000,00000000,001,002,016,016
004,00000000,00650961,00000000,010,00064200,00262333,00003908,001024,000,000,00000008,00326484,01,0000006491768673,00000000,00000000,001,002,016,016
005,00000000,00650485,00000000,010,00064323,00262274,00003756,001024,000,000,00000008,00326547,01,0000006488988324,00000000,00000000,001,002,016,016
006,00000000,00650794,00000000,010,00064643,00261415,00003827,001024,000,000,00000008,00325996,01,0000006522863432,00000000,00000000,001,002,016,016
007,00000000,00650556,00000000,010,00064324,00262606,00003855,001024,000,000,00000008,00326881,01,0000006414374348,00000000,00000000,001,002,016,016
008,00000000,00650200,00000000,010,00063989,00262429,00003724,001024,000,000,00000008,00326359,01,0000006425899005,00000000,00000000,001,002,016,016
009,00000000,00648882,00000000,010,00064368,00261699,00003802,001024,000,000,00000008,00326015,01,0000006620741604,00000000,00000000,001,002,016,016
010,00000000,00650885,00000000,010,00064173,00262763,00003717,001024,000,000,00000008,00326886,01,0000006415172414,00000000,00000000,001,002,016,016
011,00000000,00652000,00000000,010,00063996,00263196,00003853,001024,000,000,00000008,00327130,01,0000006396314677,00000000,00000000,001,002,016,016
012,00000000,00649414,00000000,010,00064567,00262369,00003921,001024,000,000,00000008,00326875,01,0000006414962290,00000000,00000000,001,002,016,016
013,00000000,00651031,00000000,010,00064863,00262991,00003909,001024,000,000,00000008,00327801,01,0000006420371592,00000000,00000000,001,002,016,016
