tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover,colocate
000,00000000,00410861,00003237,010,00298171,00000000,00000000,001024,000,000,00001024,00207182,01,0000009052881531,00000000,00000000,004,002,016,016,1
001,00000000,00415495,00002197,010,00299782,00000000,00000000,001024,000,000,00001024,00209345,01,0000008981082121,00000000,00000000,004,002,016,016,1
002,00000000,00414299,00002161,010,00298724,00000000,00000000,001024,000,000,00001024,00208336,01,0000009012138872,00000000,00000000,004,002,016,016,1
003,00000000,00416897,00002061,010,00299193,00000000,00000000,001024,000,000,00001024,00209562,01,0000009110406024,00000000,00000000,004,002,016,016,1
004,00000000,00416369,00009228,010,00298562,00000000,00000000,001024,000,000,00001024,00209768,01,0000009046892325,00000000,00000000,004,002,016,016,1
005,00000000,00413149,00002293,010,00298779,00000000,00000000,001024,000,000,00001024,00208461,01,0000008974577327,00000000,00000000,004,002,016,016,1
006,00000000,00415874,00002446,010,00297861,00000000,00000000,001024,000,000,00001024,00208577,01,0000009046455648,00000000,00000000,004,002,016,016,1
007,00000000,00414871,00003631,010,00299114,00000000,00000000,001024,000,000,00001024,00209325,01,0000008307983366,00000000,00000000,004,002,016,016,1
008,00000000,00417094,00002144,010,00298679,00000000,00000000,001024,000,000,00001024,00209521,01,0000009041061857,00000000,00000000,004,002,016,016,1
009,00000000,00414934,00003246,010,00298015,00000000,00000000,001024,000,000,00001024,00209095,01,0000008800174835,00000000,00000000,004,002,016,016,1
010,00000000,00416228,00003006,010,00299417,00000000,00000000,001024,000,000,00001024,00209468,01,0000009050679140,00000000,00000000,004,002,016,016,1
011,00000000,00400165,00006209,010,00289233,00000000,00000000,001024,000,000,00001024,00201794,01,0000002828439177,00000000,00000000,004,002,016,016,1
012,00000000,00414433,00003209,010,00300283,00000000,00000000,001024,000,000,00001024,00208953,01,0000009139435892,00000000,00000000,004,002,016,016,1
013,00000000,00414705,00004309,010,00299953,00000000,00000000,001024,000,000,00001024,00209218,01,0000008558367370,00000000,00000000,004,002,016,016,1
014,00000000,00412483,00003154,010,00296902,00000000,00000000,001024,000,000,00001024,00207609,01,0000009009906811,00000000,00000000,004,002,016,016,1
015,00000000,00413129,00002600,010,00298134,00000000,00000000,001024,000,000,00001024,00208326,01,0000008986536760,00000000,00000000,004,002,016,016,1
000,00000000,00570586,00004547,010,00403614,00000000,00000000,001024,001,000,00001024,00286785,01,0000012221105985,00000000,00000000,004,002,016,016,1
001,00000000,00572804,00002889,010,00405557,00000000,00000000,001024,001,000,00001024,00288315,01,0000012590110709,00000000,00000000,004,002,016,016,1
002,00000000,00572556,00002884,010,00406209,00000000,00000000,001024,001,000,00001024,00288444,01,0000012588590342,00000000,00000000,004,002,016,016,1
003,00000000,00573209,00002736,010,00405371,00000000,00000000,001024,001,000,00001024,00288096,01,0000012601072635,00000000,00000000,004,002,016,016,1
004,00000000,00571115,00012759,010,00405776,00000000,00000000,001024,001,000,00001024,00286919,01,0000012342628780,00000000,00000000,004,002,016,016,1
005,00000000,00572102,00003217,010,00405039,00000000,00000000,001024,001,000,00001024,00287532,01,0000011609937490,00000000,00000000,004,002,016,016,1
006,00000000,00570471,00003351,010,00407075,00000000,00000000,001024,001,000,00001024,00286530,01,0000012839500145,00000000,00000000,004,002,016,016,1
007,00000000,00568202,00004862,010,00403382,00000000,00000000,001024,001,000,00001024,00286039,01,0000013317428646,00000000,00000000,004,002,016,016,1
008,00000000,00570550,00002948,010,00402260,00000000,00000000,001024,001,000,00001024,00286609,01,0000012584221988,00000000,00000000,004,002,016,016,1
009,00000000,00571748,00004568,010,00401961,00000000,00000000,001024,001,000,00001024,00287234,01,0000012586027837,00000000,00000000,004,002,016,016,1
010,00000000,00570373,00003844,010,00402360,00000000,00000000,001024,001,000,00001024,00286485,01,0000012603341052,00000000,00000000,004,002,016,016,1
011,00000000,00569990,00008261,010,00404150,00000000,00000000,001024,001,000,00001024,00286207,01,0000011865119859,00000000,00000000,004,002,016,016,1
012,00000000,00570199,00004569,010,00405191,00000000,00000000,001024,001,000,00001024,00286678,01,0000012618029775,00000000,00000000,004,002,016,016,1
013,00000000,00571044,00005984,010,00405368,00000000,00000000,001024,001,000,00001024,00287113,01,0000012532839192,00000000,00000000,004,002,016,016,1
014,00000000,00569347,00004342,010,00405138,00000000,00000000,001024,001,000,00001024,00286543,01,0000012617889431,00000000,00000000,004,002,016,016,1
015,00000000,00551718,00003605,010,00393476,00000000,00000000,001024,001,000,00001024,00277179,01,0000004137972356,00000000,00000000,004,002,016,016,1
000,00000000,00223690,00001736,010,00166284,00000000,00000000,001024,002,000,00001024,00112209,01,0000014677348928,00000000,00000000,004,002,016,016,1
001,00000000,00223203,00001185,010,00166761,00000000,00000000,001024,002,000,00001024,00112133,01,0000013868615531,00000000,00000000,004,002,016,016,1
002,00000000,00223315,00001122,010,00167626,00000000,00000000,001024,002,000,00001024,00112117,01,0000014681631122,00000000,00000000,004,002,016,016,1
003,00000000,00223623,00001018,010,00165731,00000000,00000000,001024,002,000,00001024,00111764,01,0000014699770445,00000000,00000000,004,002,016,016,1
