tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover
000,00000000,00600047,00005322,010,00428829,00018357,00000000,001024,000,000,00001024,00302300,01,0000012130606467,00000000,00000000,004,004,016,016
001,00000000,00600947,00005814,010,00434025,00018245,00000000,001024,000,000,00001024,00302583,01,0000012204326968,00000000,00000000,004,004,016,016
002,00000000,00600572,00004525,010,00428000,00018346,00000000,001024,000,000,00001024,00302468,01,0000012069397901,00000000,00000000,004,004,016,016
003,00000000,00601256,00003975,010,00428147,00018305,00000000,001024,000,000,00001024,00302788,01,0000011868635572,00000000,00000000,004,004,016,016
004,00000000,00599653,00014145,010,00427269,00018654,00000000,001024,000,000,00001024,00302583,01,0000011882505255,00000000,00000000,004,004,016,016
005,00000000,00602165,00004687,010,00421995,00018611,00000000,001024,000,000,00001024,00303157,01,0000011301331711,00000000,00000000,004,004,016,016
006,00000000,00601342,00005746,010,00430369,00018176,00000000,001024,000,000,00001024,00303215,01,0000011937998442,00000000,00000000,004,004,016,016
007,00000000,00600266,00012494,010,00434097,00018387,00000000,001024,000,000,00001024,00302293,01,0000012210463863,00000000,00000000,004,004,016,016
008,00000000,00600839,00005604,010,00430722,00018398,00000000,001024,000,000,00001024,00302050,01,0000012217185500,00000000,00000000,004,004,016,016
009,00000000,00601860,00004948,010,00425330,00018322,00000000,001024,000,000,00001024,00302835,01,0000011957218395,00000000,00000000,004,004,016,016
010,00000000,00602498,00006057,010,00429611,00018474,00000000,001024,000,000,00001024,00303455,01,0000012201355950,00000000,00000000,004,004,016,016
011,00000000,00599441,00010448,010,00428564,00018483,00000000,001024,000,000,00001024,00302212,01,0000012086907505,00000000,00000000,004,004,016,016
012,00000000,00599725,00008972,010,00434210,00018372,00000000,001024,000,000,00001024,00302482,01,0000012109255032,00000000,00000000,004,004,016,016
013,00000000,00599736,00005055,010,00425343,00018523,00000000,001024,000,000,00001024,00301629,01,0000012139373557,00000000,00000000,004,004,016,016
014,00000000,00601564,00005784,010,00431311,00018294,00000000,001024,000,000,00001024,00303161,01,0000012215238442,00000000,00000000,004,004,016,016
015,00000000,00582249,00004969,010,00413539,00018080,00000000,001024,000,000,00001024,00292740,01,0000003775836082,00000000,00000000,004,004,016,016
000,00000000,00435995,00003837,010,00329913,00012843,00000000,001024,001,000,00001024,00219389,01,0000011729558948,00000000,00000000,004,004,016,016
001,00000000,00437304,00004232,010,00329827,00012837,00000000,001024,001,000,00001024,00219848,01,0000012071581078,00000000,00000000,004,004,016,016
