lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR,numa,cnNR,mnNR,threadNR,maxHandover,colocate
0000000,0000171,0000040,0001004,0004859,0004338,0004829,0000009,001024,000,000,00001024,01,004,002,016,016,1
0000000,0001170,0000461,0001062,0010299,0009258,0010239,0000164,001024,000,000,00001024,01,004,002,016,016,1
0000000,0000170,0000020,0001004,0005671,0005450,0005641,0000009,001024,001,000,00001024,01,004,002,016,016,1
0000000,0001405,0000481,0001097,0010600,0009688,0010549,0000406,001024,001,000,00001024,01,004,002,016,016,1
0000000,0000170,0000030,0001009,0010319,0010029,0010289,0000074,001024,002,000,00001024,01,004,002,016,016,1
0000000,0001305,0000300,0001228,0014797,0013375,0014718,0000401,001024,002,000,00001024,01,004,002,016,016,1
0000000,0000170,0000021,0001004,0005591,0005380,0005560,0000038,001024,003,000,00001024,01,004,002,016,016,1
0000000,0001148,0000241,0001114,0010149,0008636,0010089,0000200,001024,003,000,00001024,01,004,002,016,016,1
0000000,0000170,0000030,0001005,0004980,0004559,0004959,0000008,001024,000,001,00001024,01,004,002,016,016,1
0000000,0001445,0000441,0001097,0013826,0009387,0013756,0000448,001024,000,001,00001024,01,004,002,016,016,1
0000000,0000171,0000031,0001005,0005731,0005440,0005700,0000009,001024,001,001,00001024,01,004,002,016,016,1
0000000,0001198,0000431,0001067,0011833,0009848,0011772,0000200,001024,001,001,00001024,01,004,002,016,016,1
0000000,0000170,0000030,0001004,0005610,0005390,0005580,0000039,001024,002,001,00001024,01,004,002,016,016,1
0000000,0001153,0000301,0001115,0012364,0008816,0012293,0000206,001024,002,001,00001024,01,004,002,016,016,1
0000000,0000170,0000030,0001009,0010330,0010039,0010300,0000075,001024,003,001,00001024,01,004,002,016,016,1
0000000,0001312,0000301,0001230,0017172,0013576,0017082,0000407,001024,003,001,00001024,01,004,002,016,016,1
0000000,0000170,0000030,0001006,0007373,0006853,0007334,0000011,001024,000,002,00001024,01,004,002,016,016,1
0000000,0001290,0000391,0001075,0025057,0012744,0024986,0000292,001024,000,002,00001024,01,004,002,016,016,1
0000000,0000170,0000030,0001006,0005670,0005390,0005660,0000009,001024,001,002,00001024,01,004,002,016,016,1
0000000,0001093,0000401,0001049,0025067,0010941,0025007,0000091,001024,001,002,00001024,01,004,002,016,016,1
0000000,0000170,0000020,0001005,0005931,0005621,0005901,0000043,001024,002,002,00001024,01,004,002,016,016,1
0000000,0001099,0000301,0001094,0024216,0010560,0024155,0000157,001024,002,002,00001024,01,004,002,016,016,1
0000000,0000170,0000030,0001010,0010730,0010349,0010700,0000077,001024,003,002,00001024,01,004,002,016,016,1
0000000,0001203,0000301,0001189,0029215,0015509,0029124,0000308,001024,003,002,00001024,01,004,002,016,016,1
0000000,0000180,0000031,0001005,0006442,0005971,0006412,0000011,001024,000,000,00000128,01,004,002,016,016,1
0000000,0001445,0000481,0001095,0024165,0011622,0024085,0000451,001024,000,000,00000128,01,004,002,016,016,1
0000000,0000180,0000030,0001006,0005851,0005580,0005821,0000008,001024,001,000,00000128,01,004,002,016,016,1
0000000,0001593,0000451,0001112,0024456,0010129,0024396,0000605,001024,001,000,00000128,01,004,002,016,016,1
0000000,0000171,0000030,0001010,0010650,0010310,0010620,0000076,001024,002,000,00000128,01,004,002,016,016,1
0000000,0001470,0000311,0001279,0028093,0014747,0028003,0000560,001024,002,000,00000128,01,004,002,016,016,1
0000000,0000171,0000020,0001005,0005861,0005541,0005831,0000042,001024,003,000,00000128,01,004,002,016,016,1
0000000,0001201,0000331,0001121,0022974,0009818,0022903,0000254,001024,003,000,00000128,01,004,002,016,016,1
0000000,0000180,0000030,0001006,0006552,0006131,0006512,0000010,001024,000,001,00000128,01,004,002,016,016,1
0000000,0001370,0000440,0001085,0021460,0011341,0021390,0000373,001024,000,001,00000128,01,004,002,016,016,1
0000000,0000180,0000151,0001005,0005561,0005300,0005540,0000009,001024,001,001,00000128,01,004,002,016,016,1
0000000,0001122,0000441,0001052,0021531,0010109,0021470,0000120,001024,001,001,00000128,01,004,002,016,016,1
